vendor,service_name,description,sku,os_type,currency,billing_type,unit_price,reservation_term,azure_region
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A8 v2 - EU West,A8_V2,WINDOWS,USD,ANNUAL,4785.59,0,EU West
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A8 v2 - US Central,A8_V2,WINDOWS,USD,ANNUAL,4993.20,0,US Central
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A8 v2 - US East 2,A8_V2,WINDOWS,USD,ANNUAL,4993.20,0,US East 2
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A8m v2 - EU North,A8M_V2,WINDOWS,USD,ANNUAL,7706.17,0,EU North
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A8m v2 - EU West,A8M_V2,WINDOWS,USD,ANNUAL,6882.73,0,EU West
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A8m v2 - US Central,A8M_V2,WINDOWS,USD,ANNUAL,7156.92,0,US Central
Azure,Virtual Machines,Virtual Machines Av2 Series Windows - A8m v2 - US East 2,A8M_V2,WINDOWS,USD,ANNUAL,6607.67,0,US East 2
Azure,Virtual Machines,Virtual Machines BS Series - B12ms - EU North,B12MS,LINUX,USD,ANNUAL,4546.44,0,EU North
Azure,Virtual Machines,Virtual Machines BS Series - B12ms - EU West,B12MS,LINUX,USD,ANNUAL,4791.72,0,EU West
Azure,Virtual Machines,Virtual Machines BS Series - B12ms - US Central,B12MS,LINUX,USD,ANNUAL,4984.44,0,US Central
Azure,Virtual Machines,Virtual Machines BS Series - B12ms - US East 2,B12MS,LINUX,USD,ANNUAL,4152.24,0,US East 2
Azure,Virtual Machines,Virtual Machines BS Series - B16ms - EU North,B16MS,LINUX,USD,ANNUAL,6061.92,0,EU North
Azure,Virtual Machines,Virtual Machines BS Series - B16ms - EU West,B16MS,LINUX,USD,ANNUAL,6394.80,0,EU West
Azure,Virtual Machines,Virtual Machines BS Series - B16ms - US Central,B16MS,LINUX,USD,ANNUAL,6648.84,0,US Central
Azure,Virtual Machines,Virtual Machines BS Series - B16ms - US East 2,B16MS,LINUX,USD,ANNUAL,5545.08,0,US East 2
Azure,Virtual Machines,Virtual Machines BS Series - B1ls - EU North,B1LS,LINUX,USD,ANNUAL,47.48,0,EU North
Azure,Virtual Machines,Virtual Machines BS Series - B1ls - EU West,B1LS,LINUX,USD,ANNUAL,49.93,0,EU West
Azure,Virtual Machines,Virtual Machines BS Series - B1ls - US Central,B1LS,LINUX,USD,ANNUAL,51.95,0,US Central
Azure,Virtual Machines,Virtual Machines BS Series - B1ls - US East 2,B1LS,LINUX,USD,ANNUAL,43.27,0,US East 2
Azure,Virtual Machines,Virtual Machines BS Series - B1ms - EU North,B1MS,LINUX,USD,ANNUAL,189.22,0,EU North
Azure,Virtual Machines,Virtual Machines BS Series - B1ms - EU West,B1MS,LINUX,USD,ANNUAL,199.73,0,EU West
