vendor,service_name,UPPER(sku),os_type,currency,billing_type,unit_price,reservation_term,azure_region
Azure,Virtual Machines,A5,Windows,CNY,ANNUAL,14141.02082,,CN EAST 2
Azure,Virtual Machines,A5,Windows,CNY,ANNUAL,14141.02082,,CN NORTH 2
Azure,Virtual Machines,A6,Linux,CNY,ANNUAL,26849.70666,,CN EAST 2
Azure,Virtual Machines,A6,Linux,CNY,ANNUAL,26849.70666,,CN NORTH 2
Azure,Virtual Machines,A6,Windows,CNY,ANNUAL,28327.62391,,CN EAST 2
Azure,Virtual Machines,A6,Windows,CNY,ANNUAL,28327.62391,,CN NORTH 2
Azure,Virtual Machines,A7,Linux,CNY,ANNUAL,53669.60953,,CN EAST 2
Azure,Virtual Machines,A7,Linux,CNY,ANNUAL,53669.60953,,CN NORTH 2
Azure,Virtual Machines,A7,Windows,CNY,ANNUAL,56646.482,,CN EAST 2
Azure,Virtual Machines,A7,Windows,CNY,ANNUAL,56646.482,,CN NORTH 2
Azure,Virtual Machines,A8_V2,Linux,CNY,ANNUAL,28620.4023,,CN EAST 2
Azure,Virtual Machines,A8_V2,Linux,CNY,ANNUAL,28620.4023,,CN NORTH 2
Azure,Virtual Machines,A8_V2,Linux,CNY,ANNUAL,21632.88,1,CN EAST 2
Azure,Virtual Machines,A8_V2,Linux,CNY,ANNUAL,21632.88,1,CN NORTH 2
Azure,Virtual Machines,A8_V2,Windows,CNY,ANNUAL,35852.2038,,CN EAST 2
Azure,Virtual Machines,A8_V2,Windows,CNY,ANNUAL,35852.2038,,CN NORTH 2
Azure,Virtual Machines,A8_V2,Windows,CNY,ANNUAL,27095.04,1,CN EAST 2
Azure,Virtual Machines,A8_V2,Windows,CNY,ANNUAL,27095.04,1,CN NORTH 2
Azure,Virtual Machines,A8M_V2,Linux,CNY,ANNUAL,61720.13862,,CN EAST 2
Azure,Virtual Machines,A8M_V2,Linux,CNY,ANNUAL,61720.13862,,CN NORTH 2
Azure,Virtual Machines,A8M_V2,Linux,CNY,ANNUAL,46643.88,1,CN EAST 2
Azure,Virtual Machines,A8M_V2,Linux,CNY,ANNUAL,46643.88,1,CN NORTH 2
Azure,Virtual Machines,A8M_V2,Windows,CNY,ANNUAL,65138.80842,,CN EAST 2
Azure,Virtual Machines,A8M_V2,Windows,CNY,ANNUAL,65138.80842,,CN NORTH 2
Azure,Virtual Machines,A8M_V2,Windows,CNY,ANNUAL,49231.2,1,CN EAST 2
Azure,Virtual Machines,A8M_V2,Windows,CNY,ANNUAL,49231.2,1,CN NORTH 2
Azure,Virtual Machines,B12MS,Linux,CNY,ANNUAL,20170.15182,,CN EAST 2
Azure,Virtual Machines,B12MS,Linux,CNY,ANNUAL,20170.15182,,CN NORTH 2
Azure,Virtual Machines,B12MS,Linux,CNY,ANNUAL,6048,1,CN EAST 2
Azure,Virtual Machines,B12MS,Linux,CNY,ANNUAL,6048,1,CN NORTH 2
Azure,Virtual Machines,B12MS,Windows,CNY,ANNUAL,30093.06006,,CN EAST 2
Azure,Virtual Machines,B12MS,Windows,CNY,ANNUAL,30093.06006,,CN NORTH 2
Azure,Virtual Machines,B12MS,Windows,CNY,ANNUAL,14268,1,CN EAST 2
Azure,Virtual Machines,B12MS,Windows,CNY,ANNUAL,14268,1,CN NORTH 2
Azure,Virtual Machines,B16MS,Linux,CNY,ANNUAL,26902.30158,,CN EAST 2
Azure,Virtual Machines,B16MS,Linux,CNY,ANNUAL,26902.30158,,CN NORTH 2
Azure,Virtual Machines,B16MS,Linux,CNY,ANNUAL,8064,1,CN EAST 2
Azure,Virtual Machines,B16MS,Linux,CNY,ANNUAL,8064,1,CN NORTH 2
Azure,Virtual Machines,B16MS,Windows,CNY,ANNUAL,40129.92396,,CN EAST 2
Azure,Virtual Machines,B16MS,Windows,CNY,ANNUAL,40129.92396,,CN NORTH 2
Azure,Virtual Machines,B16MS,Windows,CNY,ANNUAL,19020,1,CN EAST 2
Azure,Virtual Machines,B16MS,Windows,CNY,ANNUAL,19020,1,CN NORTH 2
Azure,Virtual Machines,B1LS,Linux,CNY,ANNUAL,206.6980356,,CN EAST 2
Azure,Virtual Machines,B1LS,Linux,CNY,ANNUAL,206.6980356,,CN NORTH 2
Azure,Virtual Machines,B1LS,Linux,CNY,ANNUAL,63,1,CN EAST 2
Azure,Virtual Machines,B1LS,Linux,CNY,ANNUAL,63,1,CN NORTH 2
Azure,Virtual Machines,B1LS,Windows,CNY,ANNUAL,487.9055412,,CN EAST 2
Azure,Virtual Machines,B1LS,Windows,CNY,ANNUAL,487.9055412,,CN NORTH 2
Azure,Virtual Machines,B1LS,Windows,CNY,ANNUAL,301.68,1,CN EAST 2
Azure,Virtual Machines,B1LS,Windows,CNY,ANNUAL,301.68,1,CN NORTH 2
Azure,Virtual Machines,B1MS,Linux,CNY,ANNUAL,843.271884,,CN EAST 2
Azure,Virtual Machines,B1MS,Linux,CNY,ANNUAL,843.271884,,CN NORTH 2
Azure,Virtual Machines,B1MS,Linux,CNY,ANNUAL,252,1,CN EAST 2
Azure,Virtual Machines,B1MS,Linux,CNY,ANNUAL,252,1,CN NORTH 2
Azure,Virtual Machines,B1MS,Windows,CNY,ANNUAL,1860.107004,,CN EAST 2
Azure,Virtual Machines,B1MS,Windows,CNY,ANNUAL,1860.107004,,CN NORTH 2
Azure,Virtual Machines,B1MS,Windows,CNY,ANNUAL,1206.6,1,CN EAST 2
Azure,Virtual Machines,B1MS,Windows,CNY,ANNUAL,1206.6,1,CN NORTH 2
Azure,Virtual Machines,B1S,Linux,CNY,ANNUAL,421.635942,,CN EAST 2
Azure,Virtual Machines,B1S,Linux,CNY,ANNUAL,421.635942,,CN NORTH 2
Azure,Virtual Machines,B1S,Linux,CNY,ANNUAL,126,1,CN EAST 2
Azure,Virtual Machines,B1S,Linux,CNY,ANNUAL,126,1,CN NORTH 2
Azure,Virtual Machines,B1S,Windows,CNY,ANNUAL,975.635766,,CN EAST 2
Azure,Virtual Machines,B1S,Windows,CNY,ANNUAL,975.635766,,CN NORTH 2
Azure,Virtual Machines,B1S,Windows,CNY,ANNUAL,603.24,1,CN EAST 2
Azure,Virtual Machines,B1S,Windows,CNY,ANNUAL,603.24,1,CN NORTH 2
Azure,Virtual Machines,B20MS,Linux,CNY,ANNUAL,33625.68552,,CN EAST 2
Azure,Virtual Machines,B20MS,Linux,CNY,ANNUAL,33625.68552,,CN NORTH 2
Azure,Virtual Machines,B20MS,Linux,CNY,ANNUAL,10082.28,1,CN EAST 2
Azure,Virtual Machines,B20MS,Linux,CNY,ANNUAL,10082.28,1,CN NORTH 2
Azure,Virtual Machines,B20MS,Windows,CNY,ANNUAL,50158.02204,,CN EAST 2
Azure,Virtual Machines,B20MS,Windows,CNY,ANNUAL,50158.02204,,CN NORTH 2
Azure,Virtual Machines,B20MS,Windows,CNY,ANNUAL,23784,1,CN EAST 2
Azure,Virtual Machines,B20MS,Windows,CNY,ANNUAL,23784,1,CN NORTH 2
Azure,Virtual Machines,B2MS,Linux,CNY,ANNUAL,3357.30906,,CN EAST 2
Azure,Virtual Machines,B2MS,Linux,CNY,ANNUAL,3357.30906,,CN NORTH 2
Azure,Virtual Machines,B2MS,Linux,CNY,ANNUAL,1008,1,CN EAST 2
Azure,Virtual Machines,B2MS,Linux,CNY,ANNUAL,1008,1,CN NORTH 2
Azure,Virtual Machines,B2MS,Windows,CNY,ANNUAL,5019.308532,,CN EAST 2
Azure,Virtual Machines,B2MS,Windows,CNY,ANNUAL,5019.308532,,CN NORTH 2
Azure,Virtual Machines,B2MS,Windows,CNY,ANNUAL,2664,1,CN EAST 2
Azure,Virtual Machines,B2MS,Windows,CNY,ANNUAL,2664,1,CN NORTH 2
Azure,Virtual Machines,B2S,Linux,CNY,ANNUAL,1678.65453,,CN EAST 2
Azure,Virtual Machines,B2S,Linux,CNY,ANNUAL,1678.65453,,CN NORTH 2
Azure,Virtual Machines,B2S,Linux,CNY,ANNUAL,504,1,CN EAST 2
Azure,Virtual Machines,B2S,Linux,CNY,ANNUAL,504,1,CN NORTH 2
Azure,Virtual Machines,B2S,Windows,CNY,ANNUAL,2786.654178,,CN EAST 2
